selection_date,validation_start,validation_end,candidate_id,up_trigger,strong_up_trigger,max_up_bonus,full_stock_up_trigger,full_stock_high_vol_max,no_trade_band,score,sharpe,calmar,mdd,annual_turnover,custom_up_ratio,changed_params,mdd_penalty,turnover_penalty,custom_up_penalty,change_penalty
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,10,0.5,0.7,0.06,0.85,0.2,0.12,2.3235539727063834,1.3143977124609993,1.7862664530278662,-0.08025274016317896,2.5517827057827915,0.5595238095238095,5,0.0,0.20414261646262333,0.06571428571428571,0.15
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,11,0.5,0.7,0.06,0.85,0.2,0.16,2.4147879003871275,1.320044879888464,1.8157680237946798,-0.07959947748935758,2.15196391028493,0.5595238095238095,4,0.0,0.1721571128227944,0.06571428571428571,0.12
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,12,0.5,0.7,0.06,0.9,0.15,0.12,2.3235539727063834,1.3143977124609993,1.7862664530278662,-0.08025274016317896,2.5517827057827915,0.5595238095238095,5,0.0,0.20414261646262333,0.06571428571428571,0.15
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,13,0.5,0.7,0.06,0.9,0.15,0.16,2.4147879003871275,1.320044879888464,1.8157680237946798,-0.07959947748935758,2.15196391028493,0.5595238095238095,4,0.0,0.1721571128227944,0.06571428571428571,0.12
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,14,0.5,0.7,0.06,0.9,0.2,0.12,2.293553972706383,1.3143977124609993,1.7862664530278662,-0.08025274016317896,2.5517827057827915,0.5595238095238095,6,0.0,0.20414261646262333,0.06571428571428571,0.18
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,15,0.5,0.7,0.06,0.9,0.2,0.16,2.3847879003871277,1.320044879888464,1.8157680237946798,-0.07959947748935758,2.15196391028493,0.5595238095238095,5,0.0,0.1721571128227944,0.06571428571428571,0.15
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,16,0.5,0.75,0.03,0.85,0.15,0.12,2.4362491042524574,1.3110286846082344,1.793587518172691,-0.0796075395684247,2.299191364745549,0.5595238095238095,2,0.0,0.1839353091796439,0.06571428571428571,0.06
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,17,0.5,0.75,0.03,0.85,0.15,0.16,2.5050802181420444,1.3211601528624353,1.779403759063609,-0.07895381863233619,1.798608203212407,0.5595238095238095,1,0.0,0.14388865625699257,0.06571428571428571,0.03
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,18,0.5,0.75,0.03,0.85,0.2,0.12,2.4062491042524576,1.3110286846082344,1.793587518172691,-0.0796075395684247,2.299191364745549,0.5595238095238095,3,0.0,0.1839353091796439,0.06571428571428571,0.09
2022-02-28 00:00:00,2021-01-29 00:00:00,2022-01-27 00:00:00,19,0.5,0.75,0.03,0.85,0.2,0.16,2.475080218142044,1.3211601528624353,1.779403759063609,-0.07895381863233619,1.798608203212407,0.5595238095238095,2,0.0,0.14388865625699257,0.06571428571428571,0.06
